contentid,originimgurl,smallimageurl,cpyrhtDivCd,imgname,serialnum
2782917,http://tong.visitkorea.or.kr/cms/resource/09/2919309_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2919309_image3_1.jpg,Type3,글라스하우스_3,2919309_2
2782917,http://tong.visitkorea.or.kr/cms/resource/11/2919311_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2919311_image3_1.jpg,Type3,글라스하우스_5,2919311_9
2782917,http://tong.visitkorea.or.kr/cms/resource/13/2919313_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2919313_image3_1.jpg,Type3,글라스하우스_7,2919313_3
2782917,http://tong.visitkorea.or.kr/cms/resource/15/2919315_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2919315_image3_1.jpg,Type3,글라스하우스_9,2919315_4
2782917,http://tong.visitkorea.or.kr/cms/resource/16/2919316_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2919316_image3_1.jpg,Type3,글라스하우스_10,2919316_1
2782917,http://tong.visitkorea.or.kr/cms/resource/61/2793061_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2793061_image3_1.jpg,Type3,강원_고성_글라스하우스_풍경1,2793061_11
2791407,http://tong.visitkorea.or.kr/cms/resource/68/2792768_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2792768_image2_1.jpg,Type3,화진포해양박물관 (5),2792768_4
2791407,http://tong.visitkorea.or.kr/cms/resource/71/2792771_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2792771_image3_1.jpg,Type3,화진포해양박물관 (4),2792771_1
2791407,http://tong.visitkorea.or.kr/cms/resource/74/2792774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2792774_image2_1.jpg,Type3,화진포해양박물관 (3),2792774_2
2791407,http://tong.visitkorea.or.kr/cms/resource/76/2792776_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2792776_image2_1.jpg,Type3,화진포해양박물관 (2),2792776_3
2807083,http://tong.visitkorea.or.kr/cms/resource/72/2689472_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2689472_image3_1.jpg,Type3,"강원_고성_[소도시 낭만여행 마이리틀시티] 바다앓이에 마침표를 찍다, 눈 시리도록 푸른 초겨울 고성_20",2689472_3
2807083,http://tong.visitkorea.or.kr/cms/resource/73/2689473_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2689473_image3_1.jpg,Type3,"강원_고성_[소도시 낭만여행 마이리틀시티] 바다앓이에 마침표를 찍다, 눈 시리도록 푸른 초겨울 고성_21",2689473_1
2807083,http://tong.visitkorea.or.kr/cms/resource/76/2689476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2689476_image3_1.jpg,Type3,"강원_고성_[소도시 낭만여행 마이리틀시티] 바다앓이에 마침표를 찍다, 눈 시리도록 푸른 초겨울 고성_22",2689476_2
2837878,http://tong.visitkorea.or.kr/cms/resource/71/2837871_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/71/2837871_image3_1.JPG,Type3,강원도_고성군_스위밍터틀_실내 (1),2837871_1
2837878,http://tong.visitkorea.or.kr/cms/resource/72/2837872_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/72/2837872_image3_1.JPG,Type3,강원도_고성군_스위밍터틀_실내 (2),2837872_3
2837878,http://tong.visitkorea.or.kr/cms/resource/73/2837873_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/2837873_image3_1.JPG,Type3,강원도_고성군_스위밍터틀_실내 (4),2837873_2
2837878,http://tong.visitkorea.or.kr/cms/resource/75/2837875_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/75/2837875_image3_1.JPG,Type3,강원도_고성군_스위밍터틀_전경 (6),2837875_4
