contentid,originimgurl,imgname,smallimageurl,cpyrhtDivCd,serialnum
125804,http://tong.visitkorea.or.kr/cms/resource/70/3332470_image2_1.jpg,고성_고성 왕곡마을 (3),http://tong.visitkorea.or.kr/cms/resource/70/3332470_image2_1.jpg,Type3,3332470_6
125804,http://tong.visitkorea.or.kr/cms/resource/71/3332471_image2_1.jpg,고성_고성 왕곡마을 (4),http://tong.visitkorea.or.kr/cms/resource/71/3332471_image3_1.jpg,Type3,3332471_5
125804,http://tong.visitkorea.or.kr/cms/resource/72/3332472_image2_1.jpg,고성_고성 왕곡마을 (5),http://tong.visitkorea.or.kr/cms/resource/72/3332472_image2_1.jpg,Type3,3332472_3
125804,http://tong.visitkorea.or.kr/cms/resource/73/3332473_image2_1.jpg,고성_고성 왕곡마을 (6),http://tong.visitkorea.or.kr/cms/resource/73/3332473_image3_1.jpg,Type3,3332473_2
125804,http://tong.visitkorea.or.kr/cms/resource/74/3332474_image2_1.jpg,고성_고성 왕곡마을 (7),http://tong.visitkorea.or.kr/cms/resource/74/3332474_image3_1.jpg,Type3,3332474_1
126691,http://tong.visitkorea.or.kr/cms/resource/14/3517214_image2_1.jpg,고성_봉수대해변 (2),http://tong.visitkorea.or.kr/cms/resource/14/3517214_image3_1.jpg,Type1,3517214_1
126691,http://tong.visitkorea.or.kr/cms/resource/15/3517215_image2_1.jpg,고성_봉수대해변 (3),http://tong.visitkorea.or.kr/cms/resource/15/3517215_image3_1.jpg,Type1,3517215_3
126691,http://tong.visitkorea.or.kr/cms/resource/16/3517216_image2_1.jpg,고성_봉수대해변 (4),http://tong.visitkorea.or.kr/cms/resource/16/3517216_image3_1.jpg,Type1,3517216_2
126691,http://tong.visitkorea.or.kr/cms/resource/17/3517217_image2_1.jpg,고성_봉수대해변 (5),http://tong.visitkorea.or.kr/cms/resource/17/3517217_image3_1.jpg,Type1,3517217_5
126691,http://tong.visitkorea.or.kr/cms/resource/18/3517218_image2_1.jpg,고성_봉수대해변 (6),http://tong.visitkorea.or.kr/cms/resource/18/3517218_image3_1.jpg,Type1,3517218_4
126727,http://tong.visitkorea.or.kr/cms/resource/67/174967_image2_1.jpg,반암간이해수욕장_03,http://tong.visitkorea.or.kr/cms/resource/67/174967_image3_1.jpg,Type3,174967_7
126727,http://tong.visitkorea.or.kr/cms/resource/69/174969_image2_1.jpg,반암간이해수욕장_06,http://tong.visitkorea.or.kr/cms/resource/69/174969_image3_1.jpg,Type3,174969_9
126727,http://tong.visitkorea.or.kr/cms/resource/91/3070091_image2_1.jpg,반암해변 (1),http://tong.visitkorea.or.kr/cms/resource/91/3070091_image3_1.jpg,Type3,3070091_1
126727,http://tong.visitkorea.or.kr/cms/resource/94/3070094_image2_1.jpg,반암해변 (4),http://tong.visitkorea.or.kr/cms/resource/94/3070094_image3_1.jpg,Type3,3070094_2
126727,http://tong.visitkorea.or.kr/cms/resource/96/3070096_image2_1.jpg,반암해변 (6),http://tong.visitkorea.or.kr/cms/resource/96/3070096_image3_1.jpg,Type3,3070096_4
126727,http://tong.visitkorea.or.kr/cms/resource/97/3070097_image2_1.jpg,반암해변 (7),http://tong.visitkorea.or.kr/cms/resource/97/3070097_image3_1.jpg,Type3,3070097_6
126727,http://tong.visitkorea.or.kr/cms/resource/98/3070098_image2_1.jpg,반암해변 (8),http://tong.visitkorea.or.kr/cms/resource/98/3070098_image3_1.jpg,Type3,3070098_3
126727,http://tong.visitkorea.or.kr/cms/resource/99/3070099_image2_1.jpg,반암해변 (9),http://tong.visitkorea.or.kr/cms/resource/99/3070099_image3_1.jpg,Type3,3070099_8
